id,title,tmdb_id,overview,release_date,duration,rating,vote_count,language,poster_url
1,Avatar: Fire and Ash,83533,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",2025-12-17,198,7.301,470,en,83533_gDVgC9jd917NdAcqBdRRDUYi4Tq.jpg
2,The Great Flood,982843,"When a raging flood traps a researcher and her young son, a call to a crucial mission puts their escape — and the future of humanity — on the line.",2025-09-18,109,6.157,162,ko,982843_1tUOZQDgZaGqZtrB21MieiXARL2.jpg
3,Now You See Me: Now You Don't,425274,"The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.",2025-11-12,112,6.467,583,en,425274_oD3Eey4e4Z259XLm3eD3WGcoJAh.jpg
4,Sisu: Road to Revenge,1223601,"Returning to the house where his family was brutally murdered during the war, ‘the man who refuses to die’ dismantles it, loads it on a truck, and is determined to rebuild it somewhere safe in their honor. When the commander who killed his family comes back hellbent on finishing the job, a relentless, eye-popping cross-country chase ensues.",2025-10-21,89,7.611,239,fi,1223601_jNsttCWZyPtW66MjhUozBzVsRb7.jpg
5,Zootopia 2,1084242,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",2025-11-26,107,7.649,697,en,1084242_oJ7g2CifqpStmoYQyaLQgEU32qO.jpg
6,Worldbreaker,1196067,"Five years ago, a tear in the fabric of reality brought creatures to our world from an alternate dimension bent on our destruction. A father hides his daughter on an island to keep her safe while he prepares her for survival and the battles to come. But when the world is about to break, no place is safe.",2025-10-30,95,6.038,26,en,1196067_7K8w6mdrJp0oaSoKWGyjSZ4Zv2z.jpg
7,Reflection in a Dead Diamond,1013446,"When the mysterious woman in the room next door disappears, a debonair 70-year-old ex-spy living in a luxury hotel on the Côte d'Azur is confronted by the demons and darlings of a lurid past in which moviemaking, memories and madness collide.",2025-06-25,87,6.0,45,fr,1013446_5CdRxBu7jRDHjthkAL8vE0GdKUD.jpg
8,The Running Man,798645,"Desperate to save his sick daughter, working-class Ben Richards is convinced by The Running Man's charming but ruthless producer to enter the deadly competition game as a last resort. But Ben's defiance, instincts, and grit turn him into an unexpected fan favorite — and a threat to the entire system. As ratings skyrocket, so does the danger, and Ben must outwit not just the Hunters, but a nation addicted to watching him fall.",2025-11-11,133,6.833,714,en,798645_dKL78O9zxczVgjtNcQ9UkbYLzqX.jpg
9,Delivery Run,1336189,"A food delivery driver gets caught in a deadly chase in the icy Minnesota wilderness, pursued by a crazed snowplow driver for unknown reasons, facing life-threatening situations and forced to outsmart his relentless pursuer alone.",2025-09-10,84,5.0,17,en,1336189_eCA5maHDlZtXNTtiLXenwnEw7tc.jpg
10,Wake Up Dead Man: A Knives Out Mystery,812583,"When young priest Jud Duplenticy is sent to assist charismatic firebrand Monsignor Jefferson Wicks, it’s clear that all is not well in the pews. After a sudden and seemingly impossible murder rocks the town, the lack of an obvious suspect prompts local police chief Geraldine Scott to join forces with renowned detective Benoit Blanc to unravel a mystery that defies all logic.",2025-11-26,145,7.245,960,en,812583_qCOGGi8JBVEZMc3DVby8rUivyXz.jpg
11,The Unholy Trinity,1195518,"Set against the turbulent backdrop of 1870s Montana, in the moments before the execution of Isaac Broadway, he gives his estranged son, Henry, an impossible task: murder the man who framed him for a crime he didn’t commit. Intent on fulfilling his promise, Henry travels to the remote town of Trinity, where an unexpected turn of events traps him in town and leaves him caught between Gabriel Dove, the town’s upstanding new sheriff, and a mysterious figure named St. Christopher.",2025-06-13,95,6.2,101,en,
12,War of the Worlds,755898,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",2025-07-29,91,4.26,787,en,755898_yvirUYrva23IudARHn3mMGVxWqM.jpg
13,Bang,1491902,"Follows a ruthless hitman who, after narrowly escaping a fatal attempt on his life, betrays his gang in an effort to find forgiveness but ends up becoming a target himself.",2025-07-11,0,6.2,16,en,1491902_8SUzKOqe2ectvhYdSnR7Vq2F3n1.jpg
14,Five Nights at Freddy's 2,1228246,"One year since the supernatural nightmare at Freddy Fazbear's Pizza, the stories about what transpired there have been twisted into a campy local legend, inspiring the town's first ever Fazfest. With the truth kept from her, Abby sneaks out to reconnect with Freddy, Bonnie, Chica, and Foxy, setting into motion a terrifying series of events that will reveal dark secrets about the real origin of Freddy's, and unleash a decades-hidden horror.",2025-12-03,104,6.304,209,en,1228246_udAxQEORq2I5wxI97N2TEqdhzBE.jpg
15,Hunting Season,1387382,"When a reclusive survivalist and his daughter rescue a mysterious, wounded woman from a river, they become entangled in a deadly web of violence and revenge, forcing them to confront a brutal criminal to survive.",2025-12-05,93,6.918,55,en,
16,Slaughterhouse 2,1438030,"Unlike Buddy Bacon in the original 'Slaughterhouse' his brother Cleavon left the blood-splattered pig farm for a better life. But just like his father, Cleavon has a mute son who has a passion for home-reared, flame-grilled Wonder Jerky. Anyone who strays into Bacon's ranch, of abandoned Americana cars, will soon become part of the Wonder Jerky success story.",2024-10-23,93,8.0,2,en,1438030_wkZgGYcCQIzX8zvMAHpzg4hFhLF.jpg
17,TRON: Ares,533533,"A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.",2025-10-08,119,6.568,799,en,533533_chpWmskl3aKm1aTZqUHRCtviwPy.jpg
